                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.74146,                  1.246,                 1.4071,                0.62395,                0.51121,                0.65764,                0.56573,                0.75007,                 1.5488,                 1.4267,             0.00018575,             0.00018575,             0.00018575
                     88,                 0.7229,                 1.2288,                 1.3767,                0.72298,                0.43386,                0.62042,                 0.5327,                0.73396,                 1.6486,                 1.4422,             0.00017338,             0.00017338,             0.00017338
                     89,                0.76217,                   1.24,                 1.4116,                 0.6821,                0.48167,                0.64001,                0.53839,                0.73166,                 1.6051,                 1.4088,               0.000161,               0.000161,               0.000161
                     90,                0.76267,                 1.2721,                 1.4045,                0.75578,                 0.4534,                0.64647,                0.54439,                0.77552,                 1.6387,                 1.4349,             0.00014862,             0.00014862,             0.00014862
                     91,                0.50312,                 1.0813,                 1.2207,                0.66866,                0.51355,                0.69278,                0.59063,                0.69647,                 1.3494,                 1.3102,             0.00013625,             0.00013625,             0.00013625
                     92,                0.54898,                 1.1049,                 1.2647,                0.67957,                0.49828,                0.68653,                0.58754,                0.69289,                 1.3148,                 1.3059,             0.00012387,             0.00012387,             0.00012387
                     93,                0.47702,                 1.0782,                  1.222,                0.70298,                0.49197,                0.66206,                0.55622,                0.74239,                 1.3458,                 1.3579,              0.0001115,              0.0001115,              0.0001115
                     94,                0.49462,                 1.0565,                 1.2288,                0.70921,                0.48724,                0.65329,                0.54954,                0.73729,                 1.4347,                 1.3489,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.47019,                 1.0249,                 1.1954,                0.71513,                 0.5008,                0.65932,                0.56877,                0.70242,                 1.5246,                 1.3043,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.47643,                 1.0014,                 1.2222,                0.72292,                0.49953,                0.67356,                0.58029,                0.69214,                 1.4824,                 1.2831,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.45501,                0.98399,                 1.2062,                0.64468,                0.53967,                0.68164,                0.58851,                0.67943,                 1.4078,                 1.2711,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.47559,                 0.9996,                 1.2175,                  0.639,                0.54286,                0.67508,                0.57526,                0.67406,                  1.461,                 1.2705,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.45472,                0.94925,                 1.1987,                0.63426,                0.51392,                0.66414,                 0.5613,                0.69002,                 1.4647,                 1.2883,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.45884,                0.93977,                 1.2046,                0.68343,                0.53418,                0.67503,                0.57508,                0.69317,                 1.4744,                 1.2895,             2.4875e-05,             2.4875e-05,             2.4875e-05
